,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
AK-A,1430,75,152,197,34,346,337,334,2905
AL-1,4324,2421,265,132,10,127,208,432,7919
AL-2,3390,1599,252,59,6,23,212,493,6034
AL-3,4679,2588,349,137,7,34,263,362,8419
AL-4,4460,335,441,33,4,81,213,215,5782
AL-5,5742,1475,527,161,16,96,334,339,8690
AL-6,4950,956,429,103,5,17,167,397,7024
AL-7,3682,6055,347,123,10,36,228,567,11048
AR-1,3694,1300,190,49,4,17,161,110,5525
AR-2,4711,1631,461,166,5,26,332,472,7804
AR-3,3511,163,924,182,25,61,271,178,5315
AR-4,5065,1379,746,114,7,61,335,386,8093
AZ-1,1610,100,934,126,14,1062,177,199,4222
AZ-2,1307,170,2034,118,18,29,181,313,4170
AZ-3,60,15,1310,9,3,50,13,145,1605
AZ-4,1296,107,1585,55,6,31,114,164,3358
AZ-5,2465,180,782,197,14,30,216,201,4085
AZ-6,2957,143,1000,223,15,58,177,295,4868
AZ-7,691,494,4613,194,21,75,145,370,6603
AZ-8,1995,224,1313,149,18,24,242,238,4203
AZ-9,656,79,628,99,15,28,61,91,1657
CA-1,833,12,276,94,8,17,67,70,1377
CA-10,586,53,795,183,30,10,109,138,1904
CA-11,2007,220,897,754,69,14,315,431,4707
CA-12,194,78,214,544,11,1,71,105,1218
CA-13,323,343,661,538,29,2,140,154,2190
CA-14,1127,69,824,1174,54,2,247,373,3870
CA-15,365,117,371,386,37,2,92,123,1493
CA-16,378,101,1632,418,8,5,80,135,2757
CA-17,743,53,622,1746,58,6,256,441,3925
CA-18,1451,48,407,451,11,6,207,330,2911
CA-19,89,20,349,318,11,0,47,64,898
CA-2,940,18,257,93,5,9,102,119,1543
CA-20,596,28,1073,120,15,9,95,113,2049
CA-21,453,61,1550,166,24,5,68,126,2453
CA-22,374,21,722,108,7,5,56,91,1384
CA-23,163,16,98,14,1,3,21,15,331
CA-24,1056,34,842,125,10,7,115,199,2388
CA-25,944,157,892,205,25,6,145,200,2574
CA-26,799,29,584,151,20,9,120,125,1837
CA-27,620,111,1008,1025,28,5,165,264,3226
CA-28,301,26,1158,326,23,3,64,149,2050
CA-29,34,11,353,38,6,3,7,22,474
CA-3,417,57,392,128,14,9,79,76,1172
CA-30,1288,133,1079,384,31,9,151,398,3473
CA-31,432,268,1660,245,20,3,122,156,2906
CA-32,41,17,668,146,12,1,25,29,939
CA-33,1091,72,533,518,27,5,223,300,2769
CA-34,10,10,779,131,12,2,14,46,1004
CA-35,217,90,1357,150,6,0,57,102,1979
CA-36,248,31,743,65,9,3,35,56,1190
CA-37,384,666,2409,183,13,8,129,304,4096
CA-38,152,76,2116,665,28,5,58,175,3275
CA-39,486,84,1019,808,35,4,115,239,2790
CA-4,1558,44,347,162,14,13,165,207,2510
CA-40,19,14,1413,18,3,0,4,69,1540
CA-41,374,221,1736,147,20,52,107,125,2782
CA-42,482,102,745,207,19,7,125,99,1786
CA-43,39,267,899,114,10,2,44,77,1452
CA-44,31,278,2197,109,19,4,31,120,2789
CA-45,2477,62,952,902,42,14,272,524,5245
CA-46,37,4,163,40,3,1,4,14,266
CA-47,635,225,1208,999,36,3,195,207,3508
CA-48,958,17,999,291,14,12,116,202,2609
CA-49,1506,63,599,265,23,8,183,322,2969
CA-5,902,63,556,166,16,3,148,129,1983
